MSN,YYYYMM,Value,Column_Order,Description,Unit
OGTCBUS,194913,17.027864,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195013,19.283855,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195113,21.476561,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195213,22.505303,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195313,23.462474,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195413,24.169378,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195513,26.25289,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195613,27.551448,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195713,28.12242,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195813,29.190136,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,195913,31.040072,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196013,32.304596,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196113,33.142779,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196213,34.779822,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196313,36.104134,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196413,37.589107,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196513,39.014347,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196613,41.395855,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196713,43.228449,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196813,46.189103,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,196913,49.01632,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197013,51.315402,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197113,53.030342,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197213,55.644928,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197313,57.349835,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197413,55.186148,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197513,52.680205,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197613,55.523209,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197713,57.054493,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197813,57.963222,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,197913,57.788091,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198013,54.439979,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198113,51.679515,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198213,48.588448,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198313,47.273053,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198413,49.446849,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198513,48.628215,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198613,48.789624,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198713,50.503534,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198813,52.671187,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,198913,53.810989,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199013,53.15479,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199113,52.878989,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199213,54.238589,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199313,54.973448,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199413,56.288608,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199513,57.109508,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199613,58.759997,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199713,59.381613,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199813,59.646141,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,199913,60.746932,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200013,62.085682,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200113,60.958068,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200213,61.734227,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200313,61.642085,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200413,63.214841,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200513,62.95348,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200613,62.194088,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200713,63.436723,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200813,61.12287,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
